City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,puerto palomas,31.7667,-107.6167,11.23,43,83,4.42,MX,1701047588
146,riohacha,11.5444,-72.9072,27.96,73,69,8.01,CO,1701047589
147,uturoa,-16.7333,-151.4333,26.59,78,18,8.07,PF,1701047589
148,la'ie,21.6477,-157.9253,27.98,77,100,2.24,US,1701047589
149,ilulissat,69.2167,-51.1,-1.99,100,100,2.57,GL,1701047364
150,ola,59.5833,151.2833,-16.77,76,100,5.47,RU,1701047590
151,port elizabeth,-33.918,25.5701,20.73,63,0,0.89,ZA,1701047590
152,newman,37.3138,-121.0208,12.94,59,100,0.51,US,1701047590
153,melekeok village,7.4957,134.6367,31.31,70,75,6.17,PW,1701047591
154,ca mau,9.1769,105.15,24.48,91,100,2.84,VN,1701047591
155,zalishchyky,48.6447,25.7339,-2.18,77,100,11.03,UA,1701047591
156,port lincoln,-34.7333,135.8667,16.38,73,100,8.48,AU,1701047592
157,queenstown,-31.8976,26.8753,16.51,96,0,0.26,ZA,1701047226
158,tetyushi,54.9382,48.8366,0.39,84,100,6.39,RU,1701047592
159,ceres,37.5949,-120.9577,12.25,63,0,0.0,US,1701047378
160,hofheim in unterfranken,50.1333,10.5333,3.48,99,100,4.75,DE,1701047593
161,carnarvon,-24.8667,113.6333,22.63,65,100,5.07,AU,1701047474
162,cidreira,-30.1811,-50.2056,20.7,83,1,9.64,BR,1701047501
163,monticello,45.3055,-93.7941,-3.71,55,100,7.2,US,1701047593
164,kodiak,57.79,-152.4072,5.73,87,100,8.23,US,1701047594
165,college,64.8569,-147.8028,-5.03,90,100,0.0,US,1701047594
166,lithgow,-33.4833,150.15,24.26,30,1,3.93,AU,1701047594
167,mount gambier,-37.8333,140.7667,14.43,64,100,4.35,AU,1701047595
168,labuan bajo,-8.4964,119.8877,30.02,64,100,1.63,ID,1701047365
169,kilindoni,-7.9139,39.6668,26.83,77,98,3.06,TZ,1701047595
170,nar'yan-mar,67.6713,53.087,-21.08,100,63,2.73,RU,1701047596
171,katabu,-4.9333,122.5167,31.63,57,100,0.81,ID,1701047596
172,ust-nera,64.5667,143.2,-25.24,96,94,3.65,RU,1701047406
173,xiaoweizhai,26.1903,107.5125,13.99,75,0,0.36,CN,1701047349
174,hammerfest,70.6634,23.6821,-3.75,74,100,1.54,NO,1701047597
175,ashburton,-37.8626,145.0794,17.14,88,100,1.79,AU,1701047597
176,punta arenas,-53.15,-70.9167,7.84,61,8,6.58,CL,1701047512
177,gusinoozyorsk,51.2833,106.5,-15.01,84,68,3.22,RU,1701047598
178,andergrove,-21.0833,149.1833,27.58,74,100,4.67,AU,1701047598
179,bodegraven,52.0825,4.75,6.68,93,100,3.13,NL,1701047598
180,hit,33.6416,42.8251,18.96,46,85,2.6,IQ,1701047599
181,cabo san lucas,22.8909,-109.9124,25.9,67,100,3.09,MX,1701047599
182,port mathurin,-19.6833,63.4167,24.81,74,91,7.53,MU,1701047599
183,mar del plata,-38.0023,-57.5575,23.62,58,20,7.24,AR,1701047380
184,egilsstadir,65.2653,-14.3948,2.21,95,97,4.13,IS,1701047600
185,touros,-5.1989,-35.4608,25.26,78,0,5.07,BR,1701047412
186,kyzyl,51.7,94.45,-11.66,95,100,0.45,RU,1701047600
187,north bend,43.4065,-124.2243,9.36,87,0,1.54,US,1701047601
188,walvis bay,-22.9575,14.5053,15.61,82,85,1.21,NA,1701047601
189,haiku-pauwela,20.9219,-156.3051,25.65,74,40,10.8,US,1701047602
190,shadrinsk,56.0852,63.6335,-1.17,89,100,4.32,RU,1701047603
191,ain taya,36.7933,3.2869,8.91,87,0,2.57,DZ,1701047604
192,ciudad tula,23.0,-99.7167,14.03,94,15,2.67,MX,1701047604
193,prado,-17.3411,-39.2208,24.38,78,99,4.22,BR,1701047604
194,sikandarpur,26.05,84.05,18.97,48,100,1.15,IN,1701047604
195,avellaneda,-29.1176,-59.6583,25.21,71,100,3.62,AR,1701047605
196,saldanha,-33.0117,17.9442,16.66,87,3,5.61,ZA,1701047606
197,belo sur tsiribihina,-19.7,44.55,24.95,87,18,2.08,MG,1701047606
198,olyokminsk,60.3736,120.4264,-17.87,88,100,4.69,RU,1701047607
199,san julian,21.0167,-102.1667,15.69,37,100,2.73,MX,1701047607
200,brisas de zicatela,15.8369,-97.0419,26.8,78,32,0.8,MX,1701047609
201,rujewa,-8.7,34.3833,20.96,68,49,2.93,TZ,1701047362
202,tabou,4.423,-7.3528,25.46,87,80,2.41,CI,1701047612
203,mersa matruh,31.3525,27.2453,17.63,48,50,9.05,EG,1701047612
204,kurumkan,54.3,110.3,-16.6,91,100,0.45,RU,1701047402
205,guerrero negro,27.9769,-114.0611,19.35,60,8,4.53,MX,1701047613
206,flatwoods,38.5226,-82.7171,9.84,92,100,2.57,US,1701047614
207,hiawatha,42.0358,-91.6821,0.04,78,100,10.29,US,1701047614
208,rikaze,29.25,88.8833,-3.06,43,10,0.85,CN,1701047615
209,villa ojo de agua,-29.5,-63.6938,22.21,73,60,3.47,AR,1701047616
210,klyuchi,52.2667,79.1667,0.05,59,100,3.18,RU,1701047616
211,sao gabriel da cachoeira,-0.1303,-67.0892,24.19,88,76,1.22,BR,1701047474
212,kavieng,-2.5744,150.7967,29.59,69,100,2.11,PG,1701047616
213,saraktash,51.7866,51.7866,2.35,100,0,7.75,RU,1701047617
214,dodge city,37.7528,-100.0171,-1.86,74,0,3.09,US,1701047420
215,plouzane,48.3833,-4.6167,11.03,97,75,3.6,FR,1701047617
216,asifabad,19.3667,79.2833,20.46,87,97,2.55,IN,1701047618
217,verkhovazh'ye,60.7472,42.0465,-13.81,92,100,3.54,RU,1701047619
218,la passe,45.5549,-0.8967,3.13,62,100,2.59,FR,1701047619
219,oudtshoorn,-33.5907,22.2014,19.01,52,0,0.54,ZA,1701047619
220,krasyliv,49.6519,26.9725,-4.75,85,100,8.62,UA,1701047619
221,alnwick,55.4132,-1.7056,5.71,93,100,3.09,GB,1701047620
222,carbonear,47.7332,-53.2148,1.9,87,100,3.11,CA,1701047620
223,lanxi,29.2195,119.477,15.41,71,0,2.01,CN,1701047405
